GPU,Batch,Max F1 (inter/teacher),Time ,Tot Energy,Energy/Epoch,Energy/min,Energy at best,Energy at F1 = 40% (first time),95% of max F1,Energy at 95% of max F1,Extra consumption to convergence
GTX 980,1,"48,7",12:28,"1,26","0,0063","0,0017","0,40","0,18","46,3","0,21","185,30%"
,2,"53,9",11:19,"1,24","0,0062","0,0018","0,32","0,19","51,2","0,32","101,96%"
,4,"59,5",11:30,"1,25","0,0063","0,0018","1,06","0,20","56,5","0,53","198,83%"
,8,"61,3",11:30,"1,26","0,0063","0,0018","1,15","0,25","58,2","0,55","207,96%"
GTX1080,1,"49,7",11:02,"1,6","0,0080","0,0024","0,50","0,22","47,2","0,27","185,30%"
,2,"54,5",07:20,"0,89","0,0045","0,0020","0,64","0,14","51,8","0,23","276,93%"
,4,"59,7",09:23,"1,6","0,0080","0,0028","1,34","0,26","56,7","0,61","219,95%"
,8,"61,6",09:00,"1,54","0,0077","0,0029","1,42","0,29","58,5","0,75","188,78%"
,12,,,,"0,0000",,,,,,
,24,"60,5",08:27,"1,3","0,0065","0,0026","1,26","0,38","57,5","0,73","171,69%"
RTX2080,1,"48,2",05:57,"0,8","0,0040","0,0022","0,22","0,11","45,8","0,12","180,00%"
,2,"54,6",04:26,"0,52","0,0026","0,0020","0,24","0,08","51,9","0,13","175,94%"
,4,"60,4",03:57,"0,72","0,0036","0,0030","0,54","0,12","57,4","0,31","175,20%"
,8,61,03:45,"0,43","0,0022","0,0019","0,41","0,09","58,0","0,25","169,30%"
,12,"61,7",03:42,"0,72","0,0036","0,0032","0,71","0,11","58,6","0,31","226,94%"
,16,"62,7",03:39,"0,4","0,0020","0,0018","0,39","0,10","59,6","0,20","195,01%"
,24,"60,9",03:37,"0,38","0,0019","0,0018","0,37","0,11","57,9","0,23","163,82%"
T4,1,"47,7",10:45,"1,83","0,0092","0,0028","0,59","0,25","45,3","0,31","188,24%"
,2,"54,2",07:34,"0,85","0,0043","0,0019","0,57","0,13","51,5","0,22","257,70%"
,,,,,,,,,,,
,,,,,,,,,,,
,12,"62,7",07:58,"0,95","0,0048","0,0020","0,93","0,21","59,6","0,53","174,87%"
,16,"62,2",07:46,"0,91","0,0046","0,0020","0,91","0,23","59,1","0,51","177,00%"
,24,"62,1",06:26,"0,73","0,0037","0,0019","0,71","0,20","59,0","0,50","142,40%"
A40,1,"49,1",06:32,"1,4","0,0070","0,0036","0,45","0,20","46,6","0,24","188,24%"
,2,"55,1",05:17,"1,24","0,0062","0,0039","0,64","0,19","52,3","0,39","165,08%"
,4,"59,3",04:38,"1,31","0,0066","0,0047","1,30","0,21","56,3","0,57","227,59%"
,8,"60,7",04:17,"1,06","0,0053","0,0041","1,01","0,21","57,7","0,43","235,81%"
,12,"62,7",04:30,"1,09","0,0055","0,0040","1,09","0,16","59,6","0,77","141,85%"
,16,"61,7",04:20,"1,06","0,0053","0,0041","1,04","0,26","58,6","0,50","208,50%"
,24,"61,7",04:14,"1,03","0,0052","0,0041","1,00","0,28","58,6","0,61","163,03%"
,32,"60,4",03:57,1,"0,0050","0,0042","0,95","0,33","57,4","0,70","135,42%"
A100,1,,,,,,,,,,
,2,,,,,,,,,,
,4,"58,6",03:16,"0,47","0,00235","0,0024","0,39","0,08","55,7","0,18","213,03%"
,8,"61,3",03:01,"0,45","0,00225","0,0025","0,43","0,09","58,2","0,19","229,77%"
,12,,,,,,,,,,
,16,,,,,,,,,,
,24,,,,,,,,,,
